name_guest,date_review,overview_rating,overview_text,comment
Beautiful glasses exactly what I wanted!,"Reviewed in the United States on December 27, 2023",5.0 out of 5 stars,Love them,Delivered on time beautiful exactly what I wanted
Shopster,"Reviewed in the United States on November 22, 2023",5.0 out of 5 stars,Really nice hi ball glasses,These are premium hi ball glasses. Highly recommend to anyone
Brandon,"Reviewed in the United States on July 22, 2023",5.0 out of 5 stars,Elegant addition to the home bar,I’m a big believer in having the right glassware for the right cocktail. These glasses were the perfect addition to the home bar.
Amazon Customer,"Reviewed in the United States on July 17, 2023",5.0 out of 5 stars,Great glasses!,I like these glasses so much I just ordered another set. So easy to hold and the weighted bottom keeps from tipping. Don’t hesitate!
Christine R.,"Reviewed in the United States on April 7, 2023",5.0 out of 5 stars,Love these,Perfect... exactly what I was looking for. Can't wait to afford to buy more and have a full set
Amanda,"Reviewed in the United States on March 18, 2023",5.0 out of 5 stars,Love them!,They are so adorable and easy to hold if you have small hands like myself.
Kyanna,"Reviewed in the United States on October 6, 2022",5.0 out of 5 stars,So classy,I love the flutes they are sophisticated and just enough for an evening cocktail! 10/10 recommend
Taylor M Burgmon,"Reviewed in the United States on July 21, 2022",5.0 out of 5 stars,Nice product!,"I was excited to receive this quality product for a reasonable price! The glasses don’t look cheap and have a good weight to them- not too heavy, not too light. Can’t wait to use these for my champagne/mimosas :-)"
S,"Reviewed in the United States on July 4, 2022",5.0 out of 5 stars,Perfectly Elegant,"I recently needed elegant glasses for an anniversary dinner and I'm really glad that I chose these sophisticated champagne glasses.Despite the fact that the glasses were inexpensive, they look really classy. The packaging was gorgeous and the glasses themselves look really well-made. I liked that they were thin but not too fragile and had a comfortable weight to them that wasn't too heavy. They were also really stable and didn't fall over easily. The tapered glasses allowed us to maintain a comfortable grip and choose whether we wanted to hold it at a wider part of the glass or a narrower one.The glasses are big enough to hold a lot of liquid. One of the reasons I chose these glasses was that the description said the tapered shape prevented drinks from losing their carbonation too quickly and I was very happy to see that that was indeed the case. I even compared it one of my older glasses with a wider shape and the difference was very noticeable. Another one of my favorite features of this set is that they are dishwasher safe, which makes cleanup easy and efficient.All in all, these glasses are exactly what I was looking for and I'm very happy with my choice. I look forward to using these more frequently because they seem to hold up really well and will definitely buy another set if I ever need more."
Heather Beygo,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars,Love these glasses,They are sturdy and were very well packaged.
Ch,"Reviewed in the United States on February 25, 2024",5.0 out of 5 stars,Happy,They are good glasses
Caitlin,"Reviewed in the United States on February 12, 2024",5.0 out of 5 stars,Classic glassware!,Timeless glassware for everyday use. Easy to clean and a good comfortable size.
Momof5,"Reviewed in the United States on February 11, 2024",5.0 out of 5 stars,Drinking glasses,I love the style of these glasses. They have some weight to them which I happen to like. They fit nicely in my cabinets and look nice and clean after running through the dishwasher.
John Cotton,"Reviewed in the United States on February 9, 2024",5.0 out of 5 stars,Good Quality,Practical glasses for everyday use.
The Smith's,"Reviewed in the United States on January 25, 2024",5.0 out of 5 stars,Durable and stylish,Decided to buy these when we ditched drinking out of plastic cups.  Initially I was worried about their durability but to my surprise they are able to withstand my heavy handed boys.
Kazi NS,"Reviewed in the United States on January 23, 2024",5.0 out of 5 stars,Love them,Solid feel and great glasses
Mark Taylor,"Reviewed in the United States on January 13, 2024",5.0 out of 5 stars,Maximize storage,"This is our second set of these glasses. I like them because they are nearly straight up and down, so they maximize the available space in the cupboard. I also like the weighted bases that are just the right weight to hold the glass in place when pouring without being too heavy."
Zackary Keegan,"Reviewed in the United States on January 11, 2024",5.0 out of 5 stars,Would recommend,Great glassware for a good price.
Marcia Elkins,"Reviewed in the United States on January 5, 2024",5.0 out of 5 stars,Very Nice Glasses,These glasses are great and perfect for restocking a rental condo.  I like that there are 12 of each size in the set.  The box was very sturdy (and heavy) and not a single glass was cracked.
Amazon Customer,"Reviewed in the United States on December 24, 2023",5.0 out of 5 stars,Great quality glasses,Great quality definitely worth the money
Brevin Wixon,"Reviewed in the United States on December 13, 2023",5.0 out of 5 stars,Just some cups 🤷🏻‍♂️,"Not much to it, I can say they don't leak?Id buy them again"
Very disappointed. Unbelievably heavy and awkward to push on highest level. It is too heavy and should have three level settings. It does have amazing suction power.,"Reviewed in the United States on December 11, 2023",5.0 out of 5 stars,Arrived,Glasses arrived carefully packaged.Went through the dish washer. Very comfortable to use and attractive.
Cheri,"Reviewed in the United States on November 28, 2023",5.0 out of 5 stars,Perfectly Basic,These glasses were just what I was looking for. They are a basic design and are sturdy. Perfect for our holiday gatherings.
Ben,"Reviewed in the United States on November 27, 2023",5.0 out of 5 stars,High quality,Beautiful and a great value!
Mr K,"Reviewed in the United States on November 18, 2023",5.0 out of 5 stars,Simple but elegant,Great purchase. Great value for money
Jacqueline,"Reviewed in the United States on November 9, 2023",5.0 out of 5 stars,Simple and good!,Basic and simple. Came dusty but good quality!
djb76207,"Reviewed in the United States on November 6, 2023",5.0 out of 5 stars,"A simple, classic style at a reasonable price",These glasses are not fancy or ornate and as such they aren't overly heavy. They have a nice feel to them and they are very reasonably priced compared to a lot of the sets I looked at. I would recommend them.
Sarah,"Reviewed in the United States on October 24, 2023",5.0 out of 5 stars,Perfect!,They were in perfect condition nothing was broken! I needed these as centerpieces and they worked perfectly!
Lisa Rollins,"Reviewed in the United States on October 16, 2023",5.0 out of 5 stars,Libbey Province 16-pc Glass Set,I absolutely love the elegant style of these glasses. I love the eight 15.2-ounce double old-fashion look...and the eight sleek 11.1 ounce rocks glasses. I have purchased other store brand glasses and they are not dishwasher safe. I love Libby brand glasses because they are dishwasher safe. The Libbey brand is very durable and affordable for anyone shopping for new drinking glasses. This Libbey Province16-piece Tumbler and Rocks Glass Set matches perfectly and complements any dinner or party. I can request a manufacture warranty by contacting the company but I opted not to because of the durability of this product.
lshfunshine,"Reviewed in the United States on October 15, 2023",5.0 out of 5 stars,Great quality with a simple design,I really like the feel of the glass.  It’s sturdy with the right amount of weight without feeling heavy.
MDB,"Reviewed in the United States on October 10, 2023",5.0 out of 5 stars,Elegant.,Easy to hold and a great size that is perfect for a cocktail of one's choice.
melanie,"Reviewed in the United States on September 20, 2023",5.0 out of 5 stars,Well made and nontoxic,Beautiful and nontoxic
Aussymimi,"Reviewed in the United States on September 12, 2023",5.0 out of 5 stars,great glasses,"great design, easy to hold"
Lili,"Reviewed in the United States on September 11, 2023",5.0 out of 5 stars,Glasses,Great tumblers.
AK,"Reviewed in the United States on September 1, 2023",5.0 out of 5 stars,Sturdy,Nice and sturdy. Lots of glasses. Will order again.
Robert,"Reviewed in the United States on August 21, 2023",5.0 out of 5 stars,Glass tumblers,Good glasses.  Holds water with no leaks
Tori Wilson,"Reviewed in the United States on August 15, 2023",5.0 out of 5 stars,Great cups,I’m picky about my glass cups and these are fabulous. Thicker glass so I don’t worry when I put them in the dishwasher. They don’t get that smoky look to them after being washed over and over still look clear and beautiful. I get so many compliments on them from friends and family
Latresa L. Williams,"Reviewed in the United States on August 14, 2023",5.0 out of 5 stars,LIBBEY PROVINCE,NICE QUALITY!
Cynthia W,"Reviewed in the United States on July 29, 2023",5.0 out of 5 stars,Great Drinking Glassware,You can always count on LIBBY GLASSES.  Exactly what I wanted.  Clear glasses and the right sizes.  They come out of the dishwasher sparkling.
Sarah,"Reviewed in the United States on July 28, 2023",5.0 out of 5 stars,Happy with Purchase,I will say these aren’t for people with young kids because they’re thinner. But I do very much like these! Great price!
